"GEO_ID","NAME","B05005_001E","B05005_001M","B05005_001MA","B05005_001EA","B05005_002E","B05005_002EA","B05005_002M","B05005_002MA","B05005_003E","B05005_003M","B05005_003MA","B05005_003EA","B05005_004E","B05005_004EA","B05005_004M","B05005_004MA","B05005_005E","B05005_005EA","B05005_005M","B05005_005MA","B05005_006E","B05005_006EA","B05005_006M","B05005_006MA","B05005_007E","B05005_007EA","B05005_007M","B05005_007MA","B05005_008E","B05005_008EA","B05005_008M","B05005_008MA","B05005_009E","B05005_009M","B05005_009MA","B05005_009EA","B05005_010E","B05005_010EA","B05005_010M","B05005_010MA","B05005_011E","B05005_011EA","B05005_011M","B05005_011MA","B05005_012E","B05005_012M","B05005_012MA","B05005_012EA","B05005_013E","B05005_013EA","B05005_013M","B05005_013MA","B05005_014E","B05005_014M","B05005_014MA","B05005_014EA","B05005_015E","B05005_015EA","B05005_015M","B05005_015MA","B05005_016E","B05005_016M","B05005_016MA","B05005_016EA","B05005_017E","B05005_017M","B05005_017MA","B05005_017EA","B05005_018E","B05005_018M","B05005_018MA","B05005_018EA","B05005_019E","B05005_019EA","B05005_019M","B05005_019MA","B05005_020E","B05005_020M","B05005_020MA","B05005_020EA","B05005_021E","B05005_021EA","B05005_021M","B05005_021MA","POPGROUP","POPGROUP_TTL",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Entered 2000 or later","Annotation of Estimate!!Total!!Entered 2000 or later","Margin of Error!!Total!!Entered 2000 or later","Annotation of Margin of Error!!Total!!Entered 2000 or later","Estimate!!Total!!Entered 2000 or later!!Native","Margin of Error!!Total!!Entered 2000 or later!!Native","Annotation of Margin of Error!!Total!!Entered 2000 or later!!Native","Annotation of Estimate!!Total!!Entered 2000 or later!!Native","Estimate!!Total!!Entered 2000 or later!!Foreign born","Annotation of Estimate!!Total!!Entered 2000 or later!!Foreign born","Margin of Error!!Total!!Entered 2000 or later!!Foreign born","Annotation of Margin of Error!!Total!!Entered 2000 or later!!Foreign born","Estimate!!Total!!Entered 2000 or later!!Foreign born!!Naturalized U.S. citizen","Annotation of Estimate!!Total!!Entered 2000 or later!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Entered 2000 or later!!Foreign born!!Naturalized U.S. citizen","Annotation of Margin of Error!!Total!!Entered 2000 or later!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Entered 2000 or later!!Foreign born!!Not a U.S. citizen","Annotation of Estimate!!Total!!Entered 2000 or later!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Entered 2000 or later!!Foreign born!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Entered 2000 or later!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Entered 1990 to 1999","Annotation of Estimate!!Total!!Entered 1990 to 1999","Margin of Error!!Total!!Entered 1990 to 1999","Annotation of Margin of Error!!Total!!Entered 1990 to 1999","Estimate!!Total!!Entered 1990 to 1999!!Native","Annotation of Estimate!!Total!!Entered 1990 to 1999!!Native","Margin of Error!!Total!!Entered 1990 to 1999!!Native","Annotation of Margin of Error!!Total!!Entered 1990 to 1999!!Native","Estimate!!Total!!Entered 1990 to 1999!!Foreign born","Margin of Error!!Total!!Entered 1990 to 1999!!Foreign born","Annotation of Margin of Error!!Total!!Entered 1990 to 1999!!Foreign born","Annotation of Estimate!!Total!!Entered 1990 to 1999!!Foreign born","Estimate!!Total!!Entered 1990 to 1999!!Foreign born!!Naturalized U.S. citizen","Annotation of Estimate!!Total!!Entered 1990 to 1999!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Entered 1990 to 1999!!Foreign born!!Naturalized U.S. citizen","Annotation of Margin of Error!!Total!!Entered 1990 to 1999!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Entered 1990 to 1999!!Foreign born!!Not a U.S. citizen","Annotation of Estimate!!Total!!Entered 1990 to 1999!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Entered 1990 to 1999!!Foreign born!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Entered 1990 to 1999!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Entered 1980 to 1989","Margin of Error!!Total!!Entered 1980 to 1989","Annotation of Margin of Error!!Total!!Entered 1980 to 1989","Annotation of Estimate!!Total!!Entered 1980 to 1989","Estimate!!Total!!Entered 1980 to 1989!!Native","Annotation of Estimate!!Total!!Entered 1980 to 1989!!Native","Margin of Error!!Total!!Entered 1980 to 1989!!Native","Annotation of Margin of Error!!Total!!Entered 1980 to 1989!!Native","Estimate!!Total!!Entered 1980 to 1989!!Foreign born","Margin of Error!!Total!!Entered 1980 to 1989!!Foreign born","Annotation of Margin of Error!!Total!!Entered 1980 to 1989!!Foreign born","Annotation of Estimate!!Total!!Entered 1980 to 1989!!Foreign born","Estimate!!Total!!Entered 1980 to 1989!!Foreign born!!Naturalized U.S. citizen","Annotation of Estimate!!Total!!Entered 1980 to 1989!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Entered 1980 to 1989!!Foreign born!!Naturalized U.S. citizen","Annotation of Margin of Error!!Total!!Entered 1980 to 1989!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Entered 1980 to 1989!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Entered 1980 to 1989!!Foreign born!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Entered 1980 to 1989!!Foreign born!!Not a U.S. citizen","Annotation of Estimate!!Total!!Entered 1980 to 1989!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Entered before 1980","Margin of Error!!Total!!Entered before 1980","Annotation of Margin of Error!!Total!!Entered before 1980","Annotation of Estimate!!Total!!Entered before 1980","Estimate!!Total!!Entered before 1980!!Native","Margin of Error!!Total!!Entered before 1980!!Native","Annotation of Margin of Error!!Total!!Entered before 1980!!Native","Annotation of Estimate!!Total!!Entered before 1980!!Native","Estimate!!Total!!Entered before 1980!!Foreign born","Annotation of Estimate!!Total!!Entered before 1980!!Foreign born","Margin of Error!!Total!!Entered before 1980!!Foreign born","Annotation of Margin of Error!!Total!!Entered before 1980!!Foreign born","Estimate!!Total!!Entered before 1980!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Entered before 1980!!Foreign born!!Naturalized U.S. citizen","Annotation of Margin of Error!!Total!!Entered before 1980!!Foreign born!!Naturalized U.S. citizen","Annotation of Estimate!!Total!!Entered before 1980!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Entered before 1980!!Foreign born!!Not a U.S. citizen","Annotation of Estimate!!Total!!Entered before 1980!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Entered before 1980!!Foreign born!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Entered before 1980!!Foreign born!!Not a U.S. citizen","Race/Ethnic Group","Population Groups",
"0500000US01073","Jefferson County, Alabama","2169","467","null","null","1117","null","310","null","49","68","null","null","1068","null","289","null","135","null","87","null","933","null","269","null","573","null","244","null","13","null","21","null","560","240","null","null","246","null","119","null","314","null","197","null","242","106","null","null","0","null","119","null","242","106","null","null","203","null","99","null","39","48","null","null","237","142","null","null","0","119","null","null","237","null","142","null","237","142","null","null","0","null","119","null","016","Chinese alone (410-419)",
"0500000US01081","Lee County, Alabama","908","203","null","null","626","null","167","null","0","119","null","null","626","null","167","null","49","null","36","null","577","null","161","null","166","null","94","null","0","null","119","null","166","94","null","null","100","null","88","null","66","null","48","null","116","65","null","null","0","null","119","null","116","65","null","null","116","null","65","null","0","119","null","null","0","119","null","null","0","119","null","null","0","null","119","null","0","119","null","null","0","null","119","null","016","Chinese alone (410-419)",
"0500000US01089","Madison County, Alabama","1086","282","null","null","402","null","147","null","9","15","null","null","393","null","146","null","78","null","61","null","315","null","138","null","337","null","152","null","0","null","119","null","337","152","null","null","96","null","78","null","241","null","130","null","207","102","null","null","0","null","119","null","207","102","null","null","167","null","98","null","40","38","null","null","140","56","null","null","0","119","null","null","140","null","56","null","140","56","null","null","0","null","119","null","016","Chinese alone (410-419)",
"0500000US01097","Mobile County, Alabama","622","275","null","null","377","null","227","null","13","22","null","null","364","null","224","null","36","null","38","null","328","null","218","null","155","null","142","null","0","null","119","null","155","142","null","null","57","null","48","null","98","null","109","null","22","40","null","null","0","null","119","null","22","40","null","null","22","null","40","null","0","119","null","null","68","68","null","null","0","119","null","null","68","null","68","null","68","68","null","null","0","null","119","null","016","Chinese alone (410-419)",
"0500000US02020","Anchorage Municipality, Alaska","1006","320","null","null","225","null","101","null","15","17","null","null","210","null","98","null","44","null","35","null","166","null","84","null","298","null","140","null","0","null","109","null","298","140","null","null","208","null","115","null","90","null","72","null","300","196","null","null","0","null","109","null","300","196","null","null","292","null","194","null","8","14","null","null","183","97","null","null","0","109","null","null","183","null","97","null","183","97","null","null","0","null","109","null","016","Chinese alone (410-419)",
"0500000US04013","Maricopa County, Arizona","17260","1360","null","null","6687","null","937","null","229","138","null","null","6458","null","903","null","968","null","281","null","5490","null","813","null","4603","null","526","null","59","null","60","null","4544","514","null","null","2684","null","423","null","1860","null","308","null","3474","501","null","null","67","null","55","null","3407","494","null","null","2967","null","462","null","440","179","null","null","2496","395","null","null","68","48","null","null","2428","null","395","null","2321","377","null","null","107","null","93","null","016","Chinese alone (410-419)",
"0500000US04019","Pima County, Arizona","4686","596","null","null","2010","null","431","null","0","132","null","null","2010","null","431","null","225","null","123","null","1785","null","391","null","1036","null","278","null","15","null","24","null","1021","278","null","null","467","null","168","null","554","null","198","null","551","180","null","null","0","null","132","null","551","180","null","null","480","null","168","null","71","79","null","null","1089","259","null","null","46","53","null","null","1043","null","245","null","897","228","null","null","146","null","121","null","016","Chinese alone (410-419)",
"0500000US05119","Pulaski County, Arkansas","1053","276","null","null","539","null","202","null","0","119","null","null","539","null","202","null","81","null","51","null","458","null","197","null","208","null","103","null","0","null","119","null","208","103","null","null","110","null","70","null","98","null","80","null","161","112","null","null","0","null","119","null","161","112","null","null","145","null","104","null","16","25","null","null","145","113","null","null","0","119","null","null","145","null","113","null","145","113","null","null","0","null","119","null","016","Chinese alone (410-419)",
"0500000US05143","Washington County, Arkansas","535","187","null","null","301","null","153","null","0","119","null","null","301","null","153","null","48","null","56","null","253","null","143","null","94","null","65","null","0","null","119","null","94","65","null","null","31","null","38","null","63","null","51","null","83","61","null","null","0","null","119","null","83","61","null","null","67","null","57","null","16","24","null","null","57","48","null","null","0","119","null","null","57","null","48","null","57","48","null","null","0","null","119","null","016","Chinese alone (410-419)",
