"GEO_ID","NAME","B05005_001E","B05005_001M","B05005_001MA","B05005_001EA","B05005_002E","B05005_002EA","B05005_002M","B05005_002MA","B05005_003E","B05005_003M","B05005_003MA","B05005_003EA","B05005_004E","B05005_004EA","B05005_004M","B05005_004MA","B05005_005E","B05005_005EA","B05005_005M","B05005_005MA","B05005_006E","B05005_006EA","B05005_006M","B05005_006MA","B05005_007E","B05005_007M","B05005_007MA","B05005_007EA","B05005_008E","B05005_008M","B05005_008MA","B05005_008EA","B05005_009E","B05005_009M","B05005_009MA","B05005_009EA","B05005_010E","B05005_010EA","B05005_010M","B05005_010MA","B05005_011E","B05005_011EA","B05005_011M","B05005_011MA","B05005_012E","B05005_012EA","B05005_012M","B05005_012MA","B05005_013E","B05005_013M","B05005_013MA","B05005_013EA","B05005_014E","B05005_014M","B05005_014MA","B05005_014EA","B05005_015E","B05005_015EA","B05005_015M","B05005_015MA","B05005_016E","B05005_016EA","B05005_016M","B05005_016MA","B05005_017E","B05005_017EA","B05005_017M","B05005_017MA","B05005_018E","B05005_018M","B05005_018MA","B05005_018EA","B05005_019E","B05005_019M","B05005_019MA","B05005_019EA","B05005_020E","B05005_020M","B05005_020MA","B05005_020EA","B05005_021E","B05005_021EA","B05005_021M","B05005_021MA","POPGROUP","POPGROUP_LABEL",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Entered 2010 or later","Annotation of Estimate!!Total!!Entered 2010 or later","Margin of Error!!Total!!Entered 2010 or later","Annotation of Margin of Error!!Total!!Entered 2010 or later","Estimate!!Total!!Entered 2010 or later!!Native","Margin of Error!!Total!!Entered 2010 or later!!Native","Annotation of Margin of Error!!Total!!Entered 2010 or later!!Native","Annotation of Estimate!!Total!!Entered 2010 or later!!Native","Estimate!!Total!!Entered 2010 or later!!Foreign born","Annotation of Estimate!!Total!!Entered 2010 or later!!Foreign born","Margin of Error!!Total!!Entered 2010 or later!!Foreign born","Annotation of Margin of Error!!Total!!Entered 2010 or later!!Foreign born","Estimate!!Total!!Entered 2010 or later!!Foreign born!!Naturalized U.S. citizen","Annotation of Estimate!!Total!!Entered 2010 or later!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Entered 2010 or later!!Foreign born!!Naturalized U.S. citizen","Annotation of Margin of Error!!Total!!Entered 2010 or later!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Entered 2010 or later!!Foreign born!!Not a U.S. citizen","Annotation of Estimate!!Total!!Entered 2010 or later!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Entered 2010 or later!!Foreign born!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Entered 2010 or later!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Entered 2000 to 2009","Margin of Error!!Total!!Entered 2000 to 2009","Annotation of Margin of Error!!Total!!Entered 2000 to 2009","Annotation of Estimate!!Total!!Entered 2000 to 2009","Estimate!!Total!!Entered 2000 to 2009!!Native","Margin of Error!!Total!!Entered 2000 to 2009!!Native","Annotation of Margin of Error!!Total!!Entered 2000 to 2009!!Native","Annotation of Estimate!!Total!!Entered 2000 to 2009!!Native","Estimate!!Total!!Entered 2000 to 2009!!Foreign born","Margin of Error!!Total!!Entered 2000 to 2009!!Foreign born","Annotation of Margin of Error!!Total!!Entered 2000 to 2009!!Foreign born","Annotation of Estimate!!Total!!Entered 2000 to 2009!!Foreign born","Estimate!!Total!!Entered 2000 to 2009!!Foreign born!!Naturalized U.S. citizen","Annotation of Estimate!!Total!!Entered 2000 to 2009!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Entered 2000 to 2009!!Foreign born!!Naturalized U.S. citizen","Annotation of Margin of Error!!Total!!Entered 2000 to 2009!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Entered 2000 to 2009!!Foreign born!!Not a U.S. citizen","Annotation of Estimate!!Total!!Entered 2000 to 2009!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Entered 2000 to 2009!!Foreign born!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Entered 2000 to 2009!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Entered 1990 to 1999","Annotation of Estimate!!Total!!Entered 1990 to 1999","Margin of Error!!Total!!Entered 1990 to 1999","Annotation of Margin of Error!!Total!!Entered 1990 to 1999","Estimate!!Total!!Entered 1990 to 1999!!Native","Margin of Error!!Total!!Entered 1990 to 1999!!Native","Annotation of Margin of Error!!Total!!Entered 1990 to 1999!!Native","Annotation of Estimate!!Total!!Entered 1990 to 1999!!Native","Estimate!!Total!!Entered 1990 to 1999!!Foreign born","Margin of Error!!Total!!Entered 1990 to 1999!!Foreign born","Annotation of Margin of Error!!Total!!Entered 1990 to 1999!!Foreign born","Annotation of Estimate!!Total!!Entered 1990 to 1999!!Foreign born","Estimate!!Total!!Entered 1990 to 1999!!Foreign born!!Naturalized U.S. citizen","Annotation of Estimate!!Total!!Entered 1990 to 1999!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Entered 1990 to 1999!!Foreign born!!Naturalized U.S. citizen","Annotation of Margin of Error!!Total!!Entered 1990 to 1999!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Entered 1990 to 1999!!Foreign born!!Not a U.S. citizen","Annotation of Estimate!!Total!!Entered 1990 to 1999!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Entered 1990 to 1999!!Foreign born!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Entered 1990 to 1999!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Entered before 1990","Annotation of Estimate!!Total!!Entered before 1990","Margin of Error!!Total!!Entered before 1990","Annotation of Margin of Error!!Total!!Entered before 1990","Estimate!!Total!!Entered before 1990!!Native","Margin of Error!!Total!!Entered before 1990!!Native","Annotation of Margin of Error!!Total!!Entered before 1990!!Native","Annotation of Estimate!!Total!!Entered before 1990!!Native","Estimate!!Total!!Entered before 1990!!Foreign born","Margin of Error!!Total!!Entered before 1990!!Foreign born","Annotation of Margin of Error!!Total!!Entered before 1990!!Foreign born","Annotation of Estimate!!Total!!Entered before 1990!!Foreign born","Estimate!!Total!!Entered before 1990!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Entered before 1990!!Foreign born!!Naturalized U.S. citizen","Annotation of Margin of Error!!Total!!Entered before 1990!!Foreign born!!Naturalized U.S. citizen","Annotation of Estimate!!Total!!Entered before 1990!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Entered before 1990!!Foreign born!!Not a U.S. citizen","Annotation of Estimate!!Total!!Entered before 1990!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Entered before 1990!!Foreign born!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Entered before 1990!!Foreign born!!Not a U.S. citizen","Race/Ethnic Group","Population Groups",
"0500000US01073","Jefferson County, Alabama","1937","385","null","null","335","null","152","null","0","27","null","null","335","null","152","null","9","null","16","null","326","null","147","null","712","257","null","null","0","27","null","null","712","257","null","null","150","null","62","null","562","null","244","null","442","null","191","null","0","27","null","null","442","191","null","null","235","null","132","null","207","null","143","null","448","null","193","null","69","106","null","null","379","164","null","null","370","162","null","null","9","null","14","null","016","Chinese alone (410-419)",
"0500000US01081","Lee County, Alabama","865","256","null","null","318","null","156","null","15","29","null","null","303","null","151","null","0","null","27","null","303","null","151","null","290","136","null","null","0","27","null","null","290","136","null","null","16","null","26","null","274","null","128","null","195","null","124","null","6","12","null","null","189","123","null","null","52","null","43","null","137","null","119","null","62","null","65","null","0","27","null","null","62","65","null","null","40","50","null","null","22","null","36","null","016","Chinese alone (410-419)",
"0500000US01089","Madison County, Alabama","1064","309","null","null","201","null","118","null","0","27","null","null","201","null","118","null","27","null","35","null","174","null","109","null","354","154","null","null","0","27","null","null","354","154","null","null","192","null","111","null","162","null","97","null","394","null","185","null","0","27","null","null","394","185","null","null","122","null","90","null","272","null","153","null","115","null","91","null","0","27","null","null","115","91","null","null","74","66","null","null","41","null","40","null","016","Chinese alone (410-419)",
"0500000US01125","Tuscaloosa County, Alabama","697","241","null","null","317","null","150","null","0","27","null","null","317","null","150","null","0","null","27","null","317","null","150","null","258","155","null","null","0","27","null","null","258","155","null","null","27","null","43","null","231","null","134","null","83","null","90","null","0","27","null","null","83","90","null","null","62","null","88","null","21","null","23","null","39","null","33","null","0","27","null","null","39","33","null","null","39","33","null","null","0","null","27","null","016","Chinese alone (410-419)",
"0500000US02020","Anchorage Municipality, Alaska","815","297","null","null","84","null","66","null","0","20","null","null","84","null","66","null","7","null","13","null","77","null","65","null","160","77","null","null","30","37","null","null","130","67","null","null","57","null","37","null","73","null","54","null","238","null","206","null","0","20","null","null","238","206","null","null","168","null","195","null","70","null","63","null","333","null","144","null","13","22","null","null","320","143","null","null","320","143","null","null","0","null","20","null","016","Chinese alone (410-419)",
"0500000US04013","Maricopa County, Arizona","19668","1248","null","null","3694","null","606","null","69","54","null","null","3625","null","600","null","71","null","55","null","3554","null","589","null","5431","704","null","null","125","60","null","null","5306","704","null","null","2154","null","401","null","3152","null","600","null","4327","null","447","null","74","46","null","null","4253","451","null","null","3106","null","421","null","1147","null","277","null","6216","null","569","null","220","103","null","null","5996","580","null","null","5672","543","null","null","324","null","110","null","016","Chinese alone (410-419)",
"0500000US04019","Pima County, Arizona","5298","638","null","null","1794","null","397","null","16","24","null","null","1778","null","396","null","0","null","29","null","1778","null","396","null","1556","395","null","null","18","21","null","null","1538","395","null","null","587","null","290","null","951","null","252","null","759","null","207","null","9","14","null","null","750","208","null","null","600","null","186","null","150","null","88","null","1189","null","247","null","8","13","null","null","1181","247","null","null","1140","248","null","null","41","null","45","null","016","Chinese alone (410-419)",
"0500000US05119","Pulaski County, Arkansas","1591","352","null","null","299","null","157","null","0","27","null","null","299","null","157","null","0","null","27","null","299","null","157","null","719","244","null","null","0","27","null","null","719","244","null","null","334","null","191","null","385","null","221","null","407","null","200","null","9","15","null","null","398","199","null","null","245","null","152","null","153","null","97","null","166","null","79","null","0","27","null","null","166","79","null","null","139","67","null","null","27","null","34","null","016","Chinese alone (410-419)",
"0500000US06001","Alameda County, California","104424","2943","null","null","10815","null","1130","null","146","70","null","null","10669","null","1128","null","333","null","155","null","10336","null","1124","null","26666","1412","null","null","383","133","null","null","26283","1400","null","null","9266","null","690","null","17017","null","1167","null","26798","null","1236","null","540","174","null","null","26258","1225","null","null","20921","null","1059","null","5337","null","618","null","40145","null","1661","null","600","167","null","null","39545","1636","null","null","37602","1629","null","null","1943","null","270","null","016","Chinese alone (410-419)",
"0500000US06007","Butte County, California","723","242","null","null","154","null","187","null","0","28","null","null","154","null","187","null","25","null","41","null","129","null","182","null","96","73","null","null","6","9","null","null","90","73","null","null","21","null","21","null","69","null","62","null","124","null","73","null","5","13","null","null","119","72","null","null","114","null","73","null","5","null","9","null","349","null","142","null","0","28","null","null","349","142","null","null","347","142","null","null","2","null","3","null","016","Chinese alone (410-419)",
"0500000US06013","Contra Costa County, California","29525","1722","null","null","2994","null","752","null","27","30","null","null","2967","null","747","null","158","null","100","null","2809","null","718","null","5971","692","null","null","258","175","null","null","5713","734","null","null","2172","null","445","null","3541","null","637","null","6366","null","659","null","146","70","null","null","6220","636","null","null","4859","null","619","null","1361","null","261","null","14194","null","1058","null","188","77","null","null","14006","1064","null","null","13266","1002","null","null","740","null","238","null","016","Chinese alone (410-419)",
